year,date,value
1979,1979-09-21,6.18219945941155
1980,1980-08-24,6.81199465852241
1981,1981-09-10,6.28288549774871
1982,1982-09-15,6.40487759786769
1983,1983-09-14,6.48380924006851
1984,1984-09-12,5.93520951168019
1985,1985-09-09,6.09618130429131
1986,1986-09-08,6.52690887637044
1987,1987-09-02,6.16872846610041
1988,1988-09-11,6.42666604312227
1989,1989-09-22,6.08488922922997
1990,1990-09-21,5.48836693123647
1991,1991-09-18,5.72311874848843
1992,1992-09-07,6.30315133211922
1993,1993-09-15,5.44481100448284
1994,1994-09-05,6.21613198550617
1995,1995-09-30,5.22459694652511
1996,1996-09-10,6.62502589390648
1997,1997-09-23,5.84819244231544
1998,1998-09-17,5.68057851860077
1999,1999-09-12,5.13592926954152
2000,2000-09-09,5.40840715759443
2001,2001-09-19,6.07905588506316
2002,2002-09-13,5.19254982039353
2003,2003-09-22,5.49695514374262
2004,2004-09-19,5.24542945810857
2005,2005-09-22,4.68070175738808
2006,2006-09-29,5.18471206079405
2007,2007-09-24,3.50529345780369
2008,2008-09-11,4.12039486097266
2009,2009-09-12,4.50603475504543
2010,2010-09-19,4.12943423891299
2011,2011-09-10,3.83354012275697
2012,2012-09-16,2.85320447448722
2013,2013-09-13,4.54953580719981
2014,2014-09-16,4.48986672668059
2015,2015-09-08,3.89992360851929
2016,2016-09-09,3.66855804759935
2017,2017-09-13,4.24286424966592
2018,2018-09-21,4.13728929595807
2019,2019-09-18,3.73172717193615
2020,2020-09-15,3.27505445708265
2021,2021-09-13,4.354106040217
2022,2022-09-15,4.16989326483595
